lccn,issn,notes and questions,objectid,pres_file,display_template,parentid,object_location,filename,image_small,image_thumb,object_pdf,title,"note (marc 521, 550)african americans|http://id.worldcat.org/fast/799558",publisher,publisher_uri,frequency,issuance_start,issuance_end,rightsstatement,rights,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,image_alt_text,contributing_institution,contributing_institution_uri,collectionid,type,format,language,creator,contributor,date,description,disclaimer,extent,genre,genre_uri,subject,subject_uri,location,location_uri,latitude,longitude,coordinates,chronological_subject,ark,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
sn83025186,1097-9123,,bystander1894070601,,complex,,,1894070601_0017.jp2,1894070601_0017_sm.jp2,1894070601_0017_th.jp2,1894070601.pdf,"Iowa State Bystander. volume 01, number 05, July 6, 1894",,"Des Moines, Iowa : Iowa State Bystander Pub. Co.",,Weekly,1894,1916,http://rightsstatements.org/vocab/NoC-US/1.0/,No Copyright - United States,,,,,,,,abvi,Text;Still Image,image/jpeg,eng,,"Ruff, Charles S.;Ruff, Thaddeus S.;Thompson, John L. (John Lay), 1869-1930",1894-07-06,"Contents include but are not limited to black men in buisness, prison escapes, education, weather, the Panama Canal, and other topics.",,4 pages,Newspapers,http://vocab.getty.edu/aat/300026656,African Americans; Black people; African American business enterprises; Small business; Astronomy; Weather; Panama--Panama Canal; African Americans--Education; Black people--Education; Education; Educational fund raising,http://id.worldcat.org/fast/799558; http://id.worldcat.org/fast/833880; http://id.worldcat.org/fast/799060; http://id.worldcat.org/fast/1121223; http://id.worldcat.org/fast/819673; http://id.worldcat.org/fast/1173087; http://id.worldcat.org/fast/1243650; http://id.worldcat.org/fast/799600; http://id.worldcat.org/fast/833905; http://id.worldcat.org/fast/902499; http://id.worldcat.org/fast/903460,Iowa--Des Moines,http://id.worldcat.org/fast/1205836,41.60054,-93.60911,"41.60054,-93.60911",1890s,,,,,,,
,,,bystander1894070601i1,,child,bystander1894070601,,1894070601_0017.jp2,1894070601_0017_sm.jp2,1894070601_0017_th.jp2,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894070601i2,,child,bystander1894070601,,1894070601_0018.jp2,1894070601_0018_sm.jp2,1894070601_0018_th.jp2,,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894070601i3,,child,bystander1894070601,,1894070601_0019.jp2,1894070601_0019_sm.jp2,1894070601_0019_th.jp2,,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894070601i4,,child,bystander1894070601,,1894070601_0020.jp2,1894070601_0020_sm.jp2,1894070601_0020_th.jp2,,Page 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn83025186,1521-7477,,bystander1894071301,,complex,,,1894071301_21.jp2,1894071301_21_sm.jp2,1894071301_21_th.jp2,1894071301.pdf,"Iowa State Bystander. volume 01, number 06, July 13, 1894",,"Des Moines, Iowa : Iowa State Bystander Pub. Co.",,Weekly,1894,1916,http://rightsstatements.org/vocab/NoC-US/1.0/,No Copyright - United States,,,,,,,,abvi,Text;Still Image,image/jpeg,eng,,"Ruff, Charles S.;Ruff, Thaddeus S.;Thompson, John L. (John Lay), 1869-1930",1894-07-13,"Contents include but are not limited to Iowa Masons, women's fashion, accidents, natural disasters, international war happenings, India, detective work, and other topics.",,4 pages,Newspapers,http://vocab.getty.edu/aat/300026656,African Americans; Black people; Iowa--Ottumwa; India--Mumbai; Medicine; Sino-Japanese War; Natural disasters; Accidents; Fashion; Iowa--Burlington,http://id.worldcat.org/fast/799558; http://id.worldcat.org/fast/833880; http://id.worldcat.org/fast/1218596; http://id.worldcat.org/fast/1802300; http://id.worldcat.org/fast/1014893; http://id.worldcat.org/fast/1431381; http://id.worldcat.org/fast/1033994; http://id.worldcat.org/fast/795270; http://id.worldcat.org/fast/921600; http://id.worldcat.org/fast/1216205,Iowa--Des Moines,http://id.worldcat.org/fast/1205836,41.60054,-93.60911,"41.60054,-93.60911",1890s,,,,,,,
,,,bystander1894071301i1,,child,bystander1894071301,,1894071301_21.jp2,1894071301_21_sm.jp2,1894071301_21_th.jp2,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894071301i2,,child,bystander1894071301,,1894071301_22.jp2,1894071301_22_sm.jp2,1894071301_22_th.jp2,,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894071301i3,,child,bystander1894071301,,1894071301_23.jp2,1894071301_23_sm.jp2,1894071301_23_th.jp2,,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894071301i4,,child,bystander1894071301,,1894071301_24.jp2,1894071301_24_sm.jp2,1894071301_24_th.jp2,,Page 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
