objectid,person_name,person_year,person_role,image,alt,caption,paragraph1,paragraph2,paragraph3,paragraph4,paragraph5
p1,"Alexander, John A.","(October 3, 1895 - April 28, 1970)",Methodist minister in the Midwest and Pennsylvania; Civil rights leader,objects/alexander-john.jpg,"An article from The Bystander briefly mentioning the activties of the residents of Wellington, Missouri such as travel, gardening, and school.","Image: Kansas City Sun, May 19, 1917 (Report from Wellington, Missouri)","A native of Kansas City, Missouri, Rev. John A. Alexander served as a pastor in his home state in the late 1910s and 1920s. He came to Des Moines to be pastor at St. Paul AME Church in 1932 and was the officiant for the funeral service for lawyer George Woodson in 1933. Rev. Alexander engaged in civic activities and preached at other churches including in Dallas Center in 1934. He gave a talk at First Evangelical Church in Des Moines in 1935. He left St. Paul AME in 1936 to be a pastor of Ebenezer AME Church in Evanston, Illinois.","Rev. Alexander then held positions in Indianapolis, Indiana, Detroit, Michigan, and Chicago, Illinois, all three churches with the name Bethel AME. He was in Indiana from about 1941 to 1949, then Michigan, and back to Illinois from 1952 to 1958. He finished his career in Philadelphia, Pennsylvania at Mt. Pisgah AME. He left the pulpit in about 1964. Rev. Alexander died in Philadelphia on April 28, 1970. His death certificate  lists his burial place as Mount Lawn Cemetery in Sharon Hill, Pennsylvania.",,,
p2,"Bates, Samuel","(March 2, 1849 - December 5, 1930)",Baptist minister in southern and central Iowa,objects/bates-samuel.jpg,,article from bystander,Samuel Bates was born in Virginia before the Civil War in 1849 and lived there until about 1870. He moved to the Midwest by 1880. He married his spouse Susan in 1897 until her death in 1900. He remarried to Sephronia Brown by 1910.,"Rev. Bates served at multiple churches in Iowa in the early 1900s including Corinthian Baptist in Des Moines in 1901,Galilee Baptist in Evans in Mahaska County in 1903, and Clarinda in southwest Iowa in 1906. He returned to central Iowa serving in Colfax in September 1906, then returning to Des Moines in 1907 to serve at Maple Street Baptist Church until his death in 1930. He is buried at Laurel Hill Cemetery in Des Moines, Iowa.",,,
p3,"Bell, James H.","(May 1, 1847 - May 1, 1911)",Baptist minister in Iowa and Illinois; Civil War veteran,objects/bell-james.jpg,alt text needed,This image needs a caption,"Rev. James H. Bell was born in enslavement in Murray County, Tennessee. He later was enslaved in Mississippi until self-liberating and joining the US 29th Colored Troops out of Illinois in the Civil War.","After the war he became a preacher and spent time in Iowa and possibly Illinois in the 1870s and 1880s. It appears he, his spouse Emma, and son Willie (William) were in Burlington, Iowa for the 1880 federal population census. J. H. Bell is listed as a “preacher” along with Emma, and Willie (William). When William is married in Keokuk, his mother’s maiden name is listed as Simpson, the same last name as Mrs. Bell. His father is listed as Jas. H. Bell. ","Rev. Bell begins to definitively appear in the mid-1890s. The Champaign County News, Illinois of March 14, 1896 reported he had held meetings at Grape Creek in adjacent Vermillion County, Illinois. On February 24, 1899, the Bystander reported that Rev. J. H. Bell of Champaign, Ilinois had returned to Des Moines, Iowa “after a pleasant visit with his family.” ","His affiliation with Des Moines, Iowa churches is sometimes generally referenced as the East Side Baptist Church but by August 1900 he is listed as the pastor of Mt. Nebo Baptist Church at E. 2nd and Locust St. The church was active, with Rev. Bell referenced as the pastor until August 1902. It is noted he returned to Champaign, Illinois over the holidays in December 1901. He is also mentioned in the Champaign, Illinois newspapers and is listed singly in the federal population census as living at 521 E. Locust in Des Moines and also with his wife in Champaign, Illinois. He is also listed in the Des Moines, Iowa city directory for that year.","He returned to Champaign, Illinois in 1903 where he lived until his passing. He reportedly was buried in Mount Hope Cemetery in Urbana, Illinois."
